단축코드,한글 종목약명
95570,AJ네트웍스
6840,AK홀딩스
282330,BGF리테일
27410,BGF
138930,BNK금융지주
1460,BYC
1040,CJ
11150,CJ씨푸드
590,CS홀딩스
12030,DB
16610,DB금융투자
5830,DB손해보험
990,DB하이텍
139130,DGB금융지주
1530,DI동일
210,DL
37550K,DL이앤씨우
375500,DL이앤씨
155660,DSR
69730,DSR제강
17860,DS단석
17940,E1
365550,ESR켄달스퀘어리츠
383220,F&F
7700,F&F홀딩스
6360,GS건설
78930,GS
12630,HDC
294870,HDC현대산업개발
97230,HJ중공업
14790,HL D&I
204320,HL만도
60980,HL홀딩스
35000,HS애드
3560,IHQ
175330,JB금융지주
234080,JW생명과학
1060,JW중외제약
96760,JW홀딩스
105560,KB금융
432320,KB스타리츠
9070,KCTC
3620,KG모빌리티
16380,KG스틸
1390,KG케미칼
33180,KH 필룩스
1940,KISCO홀딩스
25000,KPX케미칼
92230,KPX홀딩스
40,KR모터스
93050,LF
34220,LG디스플레이
3550,LG
51900,LG생활건강
373220,LG에너지솔루션
32640,LG유플러스
11070,LG이노텍
66570,LG전자
51910,LG화학
79550,LIG넥스원
10120,LS ELECTRIC
680,LS네트웍스
6260,LS
229640,LS에코에너지
108320,LX세미콘
1120,LX인터내셔널
23150,MH에탄올
35420,NAVER
181710,NHN
338100,NH프라임리츠
34310,NICE
8260,NI스틸
4250,NPC
456040,OCI
10950,S-Oil
5090,SGC에너지
1380,SG글로벌
1770,SHD
2360,SH에너지화학
9160,SIMPAC
123700,SJM
25530,SJM홀딩스
11790,SKC
18670,SK가스
1740,SK네트웍스
210980,SK디앤디
395400,SK리츠
34730,SK
402340,SK스퀘어
361610,SK아이이테크놀로지
100090,SK오션플랜트
96770,SK이노베이션
1510,SK증권
285130,SK케미칼
17670,SK텔레콤
3570,SNT다이내믹스
64960,SNT모티브
100840,SNT에너지
36530,SNT홀딩스
5610,SPC삼립
465770,STX그린로지스
11810,STX
77970,STX엔진
84870,TBH글로벌
2710,TCC스틸
24070,WISCOM
500,가온전선
860,강남제비스코
35250,강원랜드
11420,갤럭시아에스엠
2100,경농
9450,경동나비엔
267290,경동도시가스
12320,경동인베스트
50,경방
214390,경보제약
12610,경인양행
9140,경인전자
13580,계룡건설
12200,계양전기
2140,고려산업
10130,고려아연
2240,고려제강
9290,광동제약
17040,광명전기
17900,광전자
37710,광주신세계
30610,교보증권
339770,교촌에프앤비
7690,국도화학
1140,국보
2720,국제약품
114090,GKL
83420,그린케미칼
14530,극동유화
14280,금강공업
8870,금비
1570,금양
2990,금호건설
11780,금호석유
214330,금호에이치티
1210,금호전기
73240,금호타이어
92440,기신정기
270,기아
13700,까뮤이앤씨
4540,깨끗한나라
30190,NICE평가정보
1260,남광토건
8350,남선알미늄
4270,남성
3920,남양유업
25860,남해화학
5720,넥센
2350,넥센타이어
92790,넥스틸
251270,넷마블
90350,노루페인트
320,노루홀딩스
6280,녹십자
5250,녹십자홀딩스
4370,농심
72710,농심홀딩스
58730,다스코
30210,다올투자증권
23590,다우기술
145210,다이나믹디자인
19680,대교
6370,대구백화점
8060,대덕
353200,대덕전자
490,대동
8110,대동전자
5750,대림B&Co
6570,대림통상
1680,대상
84690,대상홀딩스
128820,대성산업
117580,대성에너지
16710,대성홀딩스
3540,대신증권
9190,대양금속
14160,대영포장
47040,대우건설
3090,대웅
69620,대웅제약
430,대원강업
6340,대원전선
3220,대원제약
24890,대원화성
2880,대유에이텍
300,대유플러스
15230,대창단조
12800,대창
1070,대한방직
6650,대한유화
1440,대한전선
84010,대한제강
1790,대한제당
1130,대한제분
3490,대한항공
5880,대한해운
3830,대한화섬
16090,대현
69460,대호에이엘
475560,더본코리아
192080,더블유게임즈
12510,더존비즈온
4830,덕성
24900,덕양산업
145720,덴티움
2150,도화엔지니어링
460850,동국씨엠
460860,동국제강
1230,동국홀딩스
4140,동방
7590,동방아그로
5960,동부건설
26960,동서
2210,동성제약
102260,동성케미컬
640,동아쏘시오홀딩스
170900,동아에스티
28100,동아지질
84670,동양고속
1520,동양
82640,동양생명
8970,동양철관
92780,동양피스톤
49770,동원F&B
18500,동원금속
6040,동원산업
30720,동원수산
14820,동원시스템즈
111380,동인기연
163560,동일고무벨트
4890,동일산업
2690,동일제강
20,동화약품
454910,두산로보틱스
241560,두산밥캣
150,두산
34020,두산에너빌리티
336260,두산퓨얼셀
16740,두올
192650,드림텍
24090,디씨엠
3160,디아이
92200,디아이씨
4840,DRB동일
377190,디앤디플랫폼리츠
7340,DN오토모티브
13570,디와이
210540,디와이파워
115390,락앤락
32350,롯데관광개발
89860,롯데렌탈
330590,롯데리츠
400,롯데손해보험
23530,롯데쇼핑
20150,롯데에너지머티리얼즈
280360,롯데웰푸드
286940,롯데이노베이트
4000,롯데정밀화학
4990,롯데지주
5300,롯데칠성
11170,롯데케미칼
71840,롯데하이마트
27740,마니커
357430,마스턴프리미어리츠
1080,만호제강
88980,맥쿼리인프라
138040,메리츠금융지주
90370,메타랩스
118000,메타케어
17180,명문제약
9900,명신산업
12690,모나리자
5360,모나미
70960,모나용평
9680,모토닉
9200,무림페이퍼
9580,무림P&P
33920,무학
8420,문배철강
25560,미래산업
7120,미래아이앤지
396690,미래에셋글로벌리츠
357250,미래에셋맵스리츠
94800,맵스리얼티1
85620,미래에셋생명
6800,미래에셋증권
2840,미원상사
268280,미원에스씨
107590,미원홀딩스
134380,미원화학
3650,미창석유
377740,바이오노트
3610,방림
1340,백광산업
35150,백산
2410,범양건영
7210,벽산
2760,보락
3850,보령
890,보해양조
3000,부광약품
1270,부국증권
26940,부국철강
11390,부산산업
5030,부산주공
2070,비비안
